-----------------------------------------------------------
line,col,  node
 775,  1,                      td
 775,  5,                        TEXT
 777,  1,                    tr
 778,  1,                      td
 778, 24,                        a
 778, 50,                          TEXT
 779,  1,                      td
 779,  5,                        TEXT
 781,  1,                    tr
 782,  1,                      td
 782,  5,                        a
 782, 30,                          TEXT
 783,  1,                      td
 783,  5,                        TEXT
 785,  1,                    tr
 786,  1,                      td
 786,  5,                        a
 786, 29,                          TEXT
 787,  1,                      td
 787,  5,                        TEXT
 789,  1,                    tr
 790,  1,                      td
 790, 24,                        a
 790, 49,                          TEXT
 791,  1,                      td
 791,  5,                        TEXT
 793,  1,                    tr
 794,  1,                      td
 794,  5,                        a
 794, 28,                          TEXT
 795,  1,                      td
 795,  5,                        TEXT
 797,  1,                    tr
 798,  1,                      td
 798,  5,                        a
 798, 51,                          TEXT
 799,  1,                      td
 799,  5,                        span
 799, 30,                          TEXT
 799, 91,                          br
 799,102,                        TEXT
 801,  1,                    tr
 802,  1,                      td
 802,  5,                        a
 802, 30,                          TEXT
 803,  1,                      td
 803,  5,                        TEXT
 805,  1,                    tr
 806,  1,                      td
 806,  5,                        a
 806, 29,                          TEXT
 807,  1,                      td
 807,  5,                        TEXT
 809,  1,                    tr
 810,  1,                      td
 810,  5,                        a
 810, 27,                          TEXT
 811,  1,                      td
 811,  5,                        TEXT
 813,  1,                    tr
 814,  1,                      td
 814, 24,                        a
 814, 50,                          TEXT
 815,  1,                      td
 815,  5,                        TEXT
 817,  1,                    tr
 818,  1,                      td
 818,  5,                        a
 818, 27,                          TEXT
 819,  1,                      td
 819,  5,                        TEXT
 821,  1,                    tr
 822,  1,                      td
 822,  5,                        a
 822, 29,                          TEXT
 823,  1,                      td
 823,  5,                        TEXT
 825,  1,                    tr
 826,  1,                      td
 826,  5,                        a
 826, 29,                          TEXT
 827,  1,                      td
 827,  5,                        TEXT
 829,  1,                    tr
 830,  1,                      td
 830,  5,                        a
 830, 26,                          TEXT
 831,  1,                      td
 831,  5,                        TEXT
 833,  1,                    tr
 834,  1,                      td
 834,  5,                        a
 834, 32,                          TEXT
 835,  1,                      td
 835,  5,                        TEXT
 837,  1,                    tr
 838,  1,                      td
 838,  5,                        a
 838, 29,                          TEXT
 839,  1,                      td
 839,  5,                        TEXT
 841,  1,                    tr
 842,  1,                      td
 842,  5,                        a
 842, 26,                          TEXT
 843,  1,                      td
 843,  5,                        TEXT
 845,  1,                    tr
 846,  1,                      td
 846,  5,                        a
 846, 29,                          TEXT
 847,  1,                      td
 847,  5,                        TEXT
 849,  1,                    tr
 850,  1,                      td
 850, 24,                        a
 850, 47,                          TEXT
 851,  1,                      td
 851,  5,                        TEXT
 853,  1,                    tr
 854,  1,                      td
 854,  5,                        a
 854, 29,                          TEXT
 855,  1,                      td
 855,  5,                        TEXT
 857,  1,                    tr
 858,  1,                      td
 858,  5,                        a
 858, 26,                          TEXT
 859,  1,                      td
 859,  5,                        TEXT
 861,  1,                    tr
 862,  1,                      td
 862, 24,                        a
 862, 48,                          TEXT
 863,  1,                      td
 863,  5,                        TEXT
 865,  1,                    tr
 866,  1,                      td
 866,  5,                        a
 866, 47,                          TEXT
 867,  1,                      td
 867,  5,                        span
 867, 30,                          TEXT
 867, 70,                          br
 867, 81,                        TEXT
 869,  1,                    tr
 870,  1,                      td
 870,  5,                        a
 870, 25,                          TEXT
 871,  1,                      td
 871,  5,                        TEXT
 873,  1,                    tr
 874,  1,                      td
 874,  5,                        a
 874, 26,                          TEXT
 875,  1,                      td
 875,  5,                        TEXT
 877,  1,                    tr
 878,  1,                      td
 878,  5,                        a
 878, 27,                          TEXT
 879,  1,                      td
 879,  5,                        TEXT
 881,  1,                    tr
 882,  1,                      td
 882, 24,                        a
 882, 48,                          TEXT
 883,  1,                      td
 883,  5,                        TEXT
 885,  1,                    tr
 886,  1,                      td
 886, 24,                        a
 886, 46,                          TEXT
 887,  1,                      td
 887,  5,                        TEXT
 890,  1,                br
 891,  1,                br
 892,  1,                div
 893,  1,                  div
 893, 19,                    a
 893, 87,                      TEXT
 894,  1,                  div
 894, 19,                    a
 894, 89,                      TEXT
 897,  1,              div
 899,  1,                div
 900,  1,                  div
 901,  1,                    div
 902,  1,                      script
 911,  1,                div
 912,  1,                  h3
 912,  5,                    TEXT
 913,  1,                  a
 913, 69,                    TEXT
 916,  1,                div
 917,  1,                  h3
 917,  5,                    TEXT
 918,  1,                  a
 919,  1,                    img
 922,  1,                div
 923,  1,                  h3
 923,  5,                    TEXT
 924,  1,                  div
 925,  1,                    script
 936, 10,                    a
 936,132,                      span
 936,185,                    a
 936,318,                      span
 936,370,                    a
 936,488,                      span
 940,  1,                div
 941,  1,                  a
 942,  1,                    span
 943,  1,                  div
 944,  1,                    div
 945,  1,                    div
 950,  1,            div
 952,  1,              hr
 953,  1,              div
 954,  1,                COMMENT
 955,  1,                div
 956,  1,                  script
 960,  1,                COMMENT
 961,  1,                div
 962,  1,                  script
 968,  1,              hr
 969,  1,              div
 970,  1,                div
 971,  1,                  a
 971, 97,                    TEXT
 973,  1,                div
 974,  1,                  a
 974, 64,                    TEXT
 976,  1,                div
 977,  1,                  a
 977, 46,                    TEXT
 979,  1,                div
 980,  1,                  a
 980, 44,                    TEXT
 983,  1,              hr
 984,  1,              div
 985,  1,                span
 985, 77,                  TEXT
 986,  1,                h2
 986,  5,                  TEXT
 987,  1,                form
 988,  1,                  div
 989,  1,                    label
 989, 24,                      TEXT
 990,  1,                    input
 992,  1,                  div
 993,  1,                    label
 993, 24,                      TEXT
 994,  1,                    input
 996,  1,                  div
 997,  1,                    label
 997, 24,                      TEXT
 998,  1,                    textarea
1000,  1,                  div
1001,  1,                    button
1001, 43,                      TEXT
1003,  1,                  br
1006,  1,              div
1007,  1,                span
1007, 77,                  TEXT
1008,  1,                h2
1008,  5,                  TEXT
1009,  1,                p
1009,  4,                  TEXT
1012,  1,              div
1013,  1,                div
1014,  1,                  div
1015,  1,                    h4
1015,  5,                      TEXT
1016,  1,                    a
1016, 29,                      TEXT
1016, 46,                    br
1017,  1,                    a
1017, 28,                      TEXT
1017, 44,                    br
1018,  1,                    a
1018, 27,                      TEXT
1018, 50,                    br
1019,  1,                    a
1019, 28,                      TEXT
1019, 44,                    br
1020,  1,                    a
